NRIC,page_id,time_spent
S5372837F,2,1
S8304150F,6,1
S8225108W,3,1
S6521888P,3,1
S9413250Y,8,1
S4329205X,1,1
S4329205X,2,1
S7079478G,3,1
S5406187Q,2,1
S6626568N,0,1
S7630798Q,1,1
S6781809A,1,1
S9044718C,7,1
S7293584X,4,1
S6620487X,1,1
S6404111R,3,1
S6007076K,2,1
S9529662U,1,1
S7071272V,7,1
S5744563B,7,1
S7133078X,1,1
S8995491G,0,1
S5824009B,2,1
S6714675S,8,1
S5824009B,1,1
S6648407F,3,1
S6896642S,9,1
S9257902K,8,1
S4436410U,0,1
S7094884Q,0,1
S7987658R,1,1
S4258724M,9,1
S7079478G,4,1
S5539056Z,8,1
S4588704F,2,1
S9409562P,4,1
S7369272T,4,1
S8223646F,8,1
S4927359Z,4,1
S9429723P,3,1
S7340510H,3,1
S7016562Q,4,1
S7824493S,3,1
S7605989H,6,1
S7436248D,0,1
S5746043Z,9,1
S5646713G,1,1
S5900690T,5,1
S8299007K,2,1
S6485639F,3,1
S8353480W,3,1
S8091847K,2,1
S8206036O,4,1
S6963887S,4,1
S8091847K,9,1
S9136845Z,6,1
S6402082Z,3,1
S7273639J,1,1
S6757107W,2,1
S6983870P,6,1
S7101469U,8,1
S6356974N,2,1
S9020447E,7,1
S6248604D,2,1
S6499906Q,4,1
S7083959R,0,1
S7351414E,2,1
S9031702G,4,1
S4339900I,0,1
S6832596W,9,1
S6832596W,4,1
S6738197L,8,1
S7266164I,9,1
S6561783F,5,1
S6604445V,9,1
S6959118E,0,1
S6933426D,0,1
S7605989H,1,1
S9219147Y,0,1
S7404667E,2,1
S4070218I,0,1
S5447101B,5,1
S5447101B,4,1
S8362105N,6,1
S6644236E,4,1
S9329915K,7,1
S4561263A,2,1
S7243858R,2,1
S8269114Y,5,1
S6930015C,0,1
S4195419A,9,1
S6027743A,0,1
S8154712M,5,1
S7865107J,0,1
S4949305O,3,1
S9620965D,7,1
S7163434M,0,1
S6509131F,9,1
S4097411N,6,1
S9114182V,2,1
S6800653E,3,1
S6800653E,6,1
S9336119O,2,1
S8289958W,1,1
S4757538L,1,1
S4156514I,7,1
S8746630Y,1,1
S8746630Y,5,1
S7760631V,4,1
S5192558H,0,1
S6885948A,3,1
S6762160L,0,1
S7769480E,4,1
S6478751G,0,1
S7712148Y,2,1
S9773253F,2,1
S8656495O,9,1
S7895947B,9,1
S8960185P,9,1
S6408325I,9,1
S6658692M,0,1
S9111986Z,9,1
S7349926L,9,1
S6931405I,3,1
S9828129E,8,1
S5081616H,2,1
S6770740X,1,1
S8760399Q,9,1
S7189027S,0,1
S9373132V,7,1
S5325051L,0,1
S6462421W,9,1
S8760399Q,0,1
S8370256Y,1,1
S7347785J,0,1
S8063611D,2,1
S6595505O,4,1
S8970989U,8,1
S8960999F,3,1
S4210385N,4,1
S4210385N,0,1
S6693104D,0,1
S6817815F,5,1
S6066404F,2,1
S6066404F,6,1
S6759604O,8,1
S8460770Z,3,1
S6609950G,6,1
S5175505Y,9,1
S9495413N,1,1
S6927324U,8,1
S8027783E,4,1
S4545223Y,3,1
S8490508V,1,1
S5168979N,1,1
S4994926A,8,1
S6721186D,1,1
S4786209R,2,1
S9822701A,1,1
S6530187K,5,1
S6482270D,4,1
S6564933I,0,1
S6278578R,5,1
S7927825T,7,1
S6445803C,3,1
S7379387R,7,1
S5801102O,3,1
S7853507O,5,1
S9883471M,5,1
S8375659E,2,1
S4566588R,1,1
S9742877H,6,1
S6011115J,6,1
S6396083M,8,1
S6882336A,3,1
S6432055P,0,1
S6658503B,1,1
S5856784W,5,1
S9770250V,5,1
S7409791I,9,1
S6766079E,1,1
S5576067W,2,1
S4315726I,6,1
S7205977C,6,1
S4840539K,6,1
S9318975O,7,1
S6831657R,6,1
S4302345L,9,1
S5590063E,7,1
S4577802D,4,1
S6436735D,7,1
S7429949K,5,1
S5001751O,6,1
S7429949K,8,1
S4244460K,8,1
S6581706G,2,1
S6377882Q,1,1
S5440217E,8,1
S7786415S,1,1
S4760274X,4,1
S4432245U,7,1
S5522440M,6,1
S7473943M,4,1
S7153175Q,8,1
S8773071T,6,1
S7065680I,9,1
S9481550I,0,1
S6633080A,5,1
S9706963N,2,1
S4397572L,6,1
S9159014B,3,1
S6267475S,4,1
S6355756J,3,1
S4685097T,7,1
S4347284V,7,1
S6623037R,1,1
S8812257F,6,1
S7692058J,7,1
S7387543L,4,1
S7022153F,7,1
S5283300Q,9,1
S8325582G,6,1
S6695925Y,4,1
S6899884T,1,1
S4543271X,8,1
S5379562I,0,1
S6528550J,4,1
S7951892G,3,1
S7487722R,2,1
S6451324O,2,1
S6655826K,3,1
S6128875U,2,1
S5746197B,8,1
S6975426R,4,1
S5547116X,4,1
S5822514B,7,1
S6716986Q,3,1
S7387227O,0,1
S4924734H,1,1
S4131235X,0,1
S5590455T,6,1
S8114650H,4,1
S6856344P,4,1
S5079700U,4,1
S9773147K,3,1
S5319748Z,6,1
S5319748Z,9,1
S7209882M,4,1
S5783795Y,2,1
S7203126F,4,1
S7223947C,6,1
S8831425K,5,1
S4594069S,5,1
S5496107N,5,1
S5496107N,4,1
S9588225J,5,1
S8181004C,4,1
S5862210B,2,1
S6442098A,0,1
S6419206W,0,1
S9638372X,2,1
S9648295P,1,1
S9638372X,7,1
S6476596X,3,1
S6521607I,1,1
S7054837A,5,1
S5679769S,0,1
S6678584V,1,1
S9544761Y,2,1
S7111607K,0,1
S5959213O,9,1
S8664197W,3,1
S4618129J,5,1
S6843275H,9,1
S6442098A,4,1
S5160394U,1,1
S8079821Q,2,1
S8079821Q,3,1
S8079821Q,5,1
S6843275H,3,1
S4371135F,2,1
S8523822Y,9,1
S8901688U,9,1
S7872413N,6,1
S7997240B,7,1
S7878041F,2,1
S8842448S,6,1
S8306589A,7,1
S7387537U,9,1
S4338874B,8,1
S8306589A,2,1
S9061864Z,2,1
S9590614H,2,1
S9382669T,0,1
S6848230X,4,1
S5016772Q,2,1
S4986283T,5,1
S9331712C,3,1
S9813898A,8,1
S6825297H,1,1
S8626944K,6,1
S8626944K,0,1
S6825297H,4,1
S5708484Z,3,1
S8107996F,3,1
S6895357T,4,1
S8624200W,1,1
S8795525B,7,1
S5688725S,6,1
S6130676Z,9,1
S5867229O,9,1
S6960441W,5,1
S8299941K,9,1
S6917336G,7,1
S6952415E,8,1
S8041604L,6,1
S5926300A,2,1
S5926300A,9,1
S7291838D,6,1
S6672934J,1,1
S5242997Q,4,1
S9835369G,4,1
S9220379K,5,1
S6437712R,1,1
S6576267L,2,1
S6810425I,5,1
S4964394K,8,1
S6884930Z,6,1
S4527900K,4,1
S4489938L,5,1
S5985076W,6,1
S6708702O,2,1
S7101232I,0,1
S6541061G,1,1
S4835518X,3,1
S5364495M,7,1
S5762253O,8,1
S6758788C,0,1
S4224609V,5,1
S8863124C,6,1
S8105125B,9,1
S9054325A,9,1
S5581624D,0,1
S7431258L,5,1
S4748661X,9,1
S9559559R,2,1
S7367827P,4,1
S6758788C,2,1
S5021076R,7,1
S7371817N,7,1
S7338356C,8,1
S7315037U,1,1
S7685860V,8,1
S5918479F,8,1
S5358895F,8,1
S8010384Q,5,1
S4395779S,4,1
S7371817N,5,1
S7337446G,4,1
S8010384Q,3,1
S9298150R,3,1
S5272578I,2,1
S8582319G,5,1
S6615641A,1,1
S8582319G,1,1
S6268840P,2,1
S5265131G,7,1
S5242396C,7,1
S6680847M,4,1
S4872009R,9,1
S4835518X,1,1
S4835518X,0,1
S4368948Q,0,1
S6502552Z,3,1
S9743719S,4,1
S9743719S,7,1
S7192541H,9,1
S4081317V,4,1
S5577071D,2,1
S5584716C,5,1
S5047905O,8,1
S8001619K,5,1
S4344989N,6,1
S6472560B,4,1
S6280275B,4,1
S9155437K,2,1
S5356958Y,3,1
S8841546T,7,1
S8743572G,5,1
S7872906N,4,1
S6659620S,6,1
S8034389J,1,1
S8609327W,4,1
S6665155P,1,1
S7364520N,3,1
S7701075V,3,1
S6714351E,3,1
S8653430V,0,1
S4119746L,8,1
S9664945I,8,1
S6746901Q,5,1
S5562381G,5,1
S8718472S,0,1
S6920561J,0,1
S9679984S,6,1
S6445823K,4,1
S5366388Q,4,1
S5716001S,3,1
S8312811M,0,1
S5833758P,4,1
S8941470P,3,1
S4173687B,8,1
S6477314N,7,1
S7919116V,1,1
S5118757M,6,1
S7160171G,7,1
S7056567G,5,1
S4296476Y,9,1
S6622081T,0,1
S9486513O,7,1
S4572538O,8,1
S8902362C,9,1
S5128495Y,7,1
S7292136V,4,1
S8829556X,4,1
S6368839Z,1,1
S4457117G,7,1
S9730968U,5,1
S9724814F,5,1
S6955049T,4,1
S8902362C,8,1
S6743167I,6,1
S5251409R,6,1
S7792157M,5,1
S9437566U,5,1
S7056567G,6,1
S9053977Z,7,1
S7679647O,2,1
S9053977Z,1,1
S8551500U,8,1
S9769895A,5,1
S5579746G,5,1
S8644426G,1,1
S6311695R,2,1
S7792157M,0,1
S7056567G,2,1
S8562803X,7,1
S6247260W,0,1
S4698054W,4,1
S4698054W,9,1
S7063558R,5,1
S4800616R,4,1
S7459085I,8,1
S5780495L,1,1
S5726518D,3,1
S9826012Y,6,1
S9888323G,4,1
