User,Item 1,Item 2,Item 3,Item 4,Item 5
S8543187E,0,4,3,5,8
S6063758V,4,0,6,3,8
S6953134M,0,8,6,2,3
S5554623C,0,4,8,6,7
S5778597N,6,1,4,0,8
S9542009D,6,4,0,8,1
S6135031R,3,8,6,5,0
S8100143C,4,1,0,7,5
S7605256Q,0,8,4,7,6
S4866580E,0,4,8,7,3
S5010319Q,6,7,4,0,2
S7211102Z,0,4,5,8,6
S6882038C,4,7,0,6,8
S7625407K,4,0,6,2,7
S9722681Q,5,2,8,6,0
S5053780Z,1,8,7,0,4
S7202980Q,0,6,4,5,8
S7220611T,6,0,4,7,5
S6913814N,0,8,3,5,2
S7417711C,8,6,5,3,0
S8411715N,1,8,7,3,0
S5409015U,5,0,3,1,4
S8673639C,2,8,0,7,4
S9894089C,0,8,4,1,6
S6998300Y,0,6,2,1,3
S6410417M,7,0,8,3,6
S4986945E,0,4,8,1,6
S6253620I,7,8,1,3,5
S5467780B,5,0,1,4,3
S7035246O,6,4,1,0,8
S7148065P,4,7,1,8,3
S8442131M,8,3,1,0,2
S7379431V,6,4,2,3,1
S8918294W,6,0,4,3,7
S6442541J,8,6,0,3,1
S8881694L,6,4,8,7,1
S6424558R,0,8,3,7,4
S9079981C,0,8,4,5,7
S8497273J,1,7,4,0,3
S5608357K,5,1,7,8,4
S5470700U,0,7,4,1,3
S8739431T,0,3,4,6,8
S6083493I,8,6,5,4,3
S5821793B,8,6,1,4,5
S7142286S,8,3,5,4,0
S6139112L,6,4,1,3,5
S6359349Q,0,4,8,5,3
S7255233S,0,5,6,8,4
S5155447J,0,6,8,1,3
S7000033V,1,0,6,8,7
S9695816P,4,6,8,0,2
S7465377C,8,0,3,4,5
S8778984V,0,6,7,3,5
S7802320H,4,0,7,6,2
S6559991J,6,2,7,3,0
S7374986B,4,2,1,3,0
S6759675G,0,4,8,3,5
S9451476S,1,0,5,8,6
S7201768O,4,6,0,8,5
S4017283F,4,7,6,0,5
S6921692O,0,6,4,2,1
S6115361Q,3,8,6,5,0
S4794563H,4,8,0,3,5
S7200227U,5,6,2,8,0
S8215661O,0,7,1,4,8
S6531048Y,0,4,3,5,6
S6498182G,4,3,7,0,8
S4048627B,8,5,1,4,7
S8857662E,8,1,5,2,7
S5859773G,8,6,4,0,2
S5754572E,4,6,1,5,8
S8042685O,4,6,5,8,1
S9669849W,8,4,0,6,1
S7677139N,4,0,5,8,1
S5045685N,7,8,0,1,2
S5076754J,0,8,4,3,5
S6787724G,4,0,3,8,6
S7490117G,7,6,0,8,4
S7463758C,3,0,4,8,6
S5544711Q,5,0,4,8,1
S4247847V,8,5,2,4,0
S9616176Y,0,6,1,2,3
S7181144S,4,1,0,6,3
S9790430W,1,0,6,2,4
S6599996N,6,4,1,2,7
S9876980M,4,1,0,7,6
S5036402M,7,6,0,1,4
S4535012I,4,8,0,2,3
S7193269E,8,4,7,1,2
S8486058X,7,8,4,1,3
S6852423M,4,5,0,8,2
S5692234G,0,7,4,2,3
S9224450M,0,8,6,3,1
S4516833B,5,8,0,3,4
S9806556J,0,8,4,7,6
S6974675I,4,0,1,6,2
S4860751B,0,8,1,4,6
S5026709R,0,7,8,1,2
S5849108K,1,6,0,3,8
S8666783O,4,2,7,0,6
S6662156F,4,0,3,8,5
S6859095T,7,8,5,0,1
S9458984A,0,8,3,7,4
S4953819P,8,0,1,7,5
S6073013Z,4,0,8,3,5
S4561780P,4,8,0,1,2
S9074683J,0,4,8,5,7
S5948649G,5,8,0,4,3
S4754885Y,3,0,4,5,8
S4973937K,8,0,4,2,1
S4785808J,1,4,0,7,8
S5859337V,8,6,5,0,4
S8811201Z,8,3,5,6,1
S8981813Z,6,3,5,4,8
S6394042J,0,7,2,6,8
S6547405W,6,3,0,8,5
S8620194R,7,0,2,3,5
S5084190P,0,3,5,6,2
S6447683X,0,8,3,4,6
S4637274E,8,4,0,3,5
S4971601N,0,4,1,8,6
S7430429F,0,8,4,6,1
S7916691V,0,1,6,8,2
S6839907H,0,4,5,1,7
S5713246O,8,7,6,2,4
S7161538P,4,8,3,5,6
S9191326Q,4,8,3,0,6
S4833927K,8,1,4,5,0
S8533131W,4,0,5,3,2
S7169082N,3,4,8,7,6
S7070295V,8,1,7,0,6
S8457806H,8,1,0,4,7
S6030942X,8,0,5,4,3
S4768958I,5,3,0,4,8
S5637878M,4,2,8,7,5
S5039304U,4,7,8,0,2
S6868335M,5,8,0,4,3
S4499911F,8,5,3,0,2
S8436049N,7,8,3,0,1
S7309158S,1,4,0,8,6
S6314511W,4,0,8,5,3
S9534899R,0,2,3,5,8
S4614552D,8,6,4,5,3
S5349721R,4,0,2,1,6
S5344386R,5,0,3,2,1
S6853255U,8,5,4,0,1
S4617604M,8,2,7,3,5
S7203169A,0,4,6,5,2
S6754362G,8,0,4,5,3
S8738251X,4,3,7,0,1
S8950686N,7,1,3,6,4
S7162455U,4,1,7,0,6
S7087710K,0,1,4,6,8
S6499628R,0,8,3,4,7
S5280783S,4,6,7,0,1
S6150569N,6,4,5,8,0
S7648504T,0,8,4,7,6
S9696464O,8,2,4,1,0
S6763632P,8,0,5,3,4
S5183397I,0,6,4,7,3
S6578839Q,5,3,0,6,4
S7460192U,0,4,8,7,6
S4148259T,0,3,7,2,8
S4899347D,8,4,0,5,2
S8279698U,5,0,8,1,7
S6979195U,4,6,0,1,2
S9814640E,1,0,4,7,6
S6610144D,4,0,8,5,3
S4383209W,3,4,1,0,8
S8867156O,1,6,4,8,7
S7331742X,4,1,3,0,2
S9392924O,2,8,4,1,7
S5931468V,8,5,0,4,3
S6807515Y,5,0,1,4,8
S4631223U,8,2,5,4,1
S6171865U,6,1,3,4,5
S4807687O,7,0,4,6,8
S9297087Y,0,8,6,3,1
S8714661J,4,1,7,0,3
S7711793H,6,4,5,1,0
S8549702X,0,4,6,1,5
S6175536H,8,0,6,3,5
S7905751C,8,5,3,0,2
S6654220U,3,0,5,4,2
S6140010G,8,5,0,3,6
S7159266Y,4,3,5,0,8
S6345729T,0,6,8,7,1
S7825823B,0,4,1,6,3
S8077215T,8,2,7,6,4
S7291622M,0,6,1,5,4
S4321388K,0,3,4,6,8
S9720444A,2,0,1,6,8
S8968359H,3,5,6,4,0
S6679889B,4,2,1,0,6
S4121238C,0,7,3,2,5
S7368113C,4,8,2,1,0
S7720022M,4,3,0,6,1
S6600337G,0,3,4,5,2
S4956579G,0,4,8,5,6
S8316722Q,4,1,0,8,5
S8475978T,8,0,7,4,2
S6478970M,4,7,1,0,8
S7199166Y,4,7,6,8,3
S6751727H,0,4,1,5,8
S8233015U,5,0,8,6,3
S4498102U,5,4,6,0,1
S7013433E,8,2,6,7,0
S8465173P,1,8,6,7,3
S6907633A,4,0,6,2,1
S7666841Y,6,0,8,5,1
S4986135R,0,4,1,8,6
S4263530F,1,2,5,8,0
S6610035S,0,3,4,5,2
S4053888Y,0,1,4,5,7
S4006184P,1,7,0,5,3
S7333830C,0,4,8,3,1
S8878329U,8,1,4,5,3
S9007984P,4,1,6,8,7
S8787943D,1,4,7,0,3
S5475574C,4,0,3,2,6
S6834430E,5,0,7,4,1
S9208727Q,2,4,3,0,5
S7329016S,4,1,0,3,2
S8937088V,6,3,5,4,0
S9840529F,8,0,4,1,6
S5905657G,0,4,5,1,7
S7075518T,8,4,0,6,1
S8589103X,4,8,0,5,3
S7211818Z,0,6,4,5,8
S7161488D,4,8,3,7,5
S8834527A,8,5,3,0,6
S6976114S,0,4,6,5,8
S5272819K,4,2,8,0,5
S7934172H,4,8,7,2,6
S8698462A,0,3,4,2,5
S7394553K,0,8,3,2,5
S4094223O,5,8,3,7,6
S9290272B,6,4,0,7,3
S6533400R,6,4,7,3,0
S4646501U,8,4,1,3,7
S8812056A,7,1,8,5,2
S9343524F,4,0,8,2,3
S8731756P,0,4,1,6,3
S6654788T,4,1,0,3,2
S8729181X,0,4,8,3,6
S9499552G,5,0,8,3,4
S6834801I,0,7,4,6,5
S6555109J,4,3,2,6,0
S7218151J,6,7,4,5,0
S4739726D,1,0,4,6,8
S7395918P,8,3,5,2,0
S6793755H,0,7,8,1,6
S6475552H,8,6,3,5,0
S6426910L,0,3,7,4,6
S7259812B,5,0,6,3,8
S7136840Q,4,7,1,0,8
S4539684G,4,8,0,1,2
S6878584V,8,5,1,4,0
S7428032U,8,0,3,6,7
S6951966N,0,6,4,3,2
S8801347O,8,1,7,4,5
S4193943N,0,3,8,5,2
S7494717X,8,0,3,6,7
S4129817N,0,7,6,3,4
S5792048I,1,5,4,8,0
S8466862R,0,8,3,7,1
S9471848J,8,0,4,5,3
S6589723V,2,6,7,8,3
S9075049L,4,1,3,8,7
S7149490F,4,8,5,7,3
S6929768H,0,4,6,5,8
S7082512H,6,4,1,8,0
S8552620F,0,1,7,4,8
S6365383Z,0,5,3,4,6
S4840223R,0,8,1,2,4
S5997838D,5,4,8,0,1
S7983828R,4,8,2,6,0
S4283618S,1,4,8,7,5
S9776922Y,8,1,2,7,5
S8411278G,1,8,4,7,0
S4033114E,5,0,3,8,7
S7432779Z,3,5,8,6,2
S6148448H,8,0,3,6,4
S9758600Y,0,1,2,6,4
S7600005A,0,8,4,7,2
S6927538N,0,8,6,7,2
S8454196L,8,1,7,3,0
S6552417X,8,2,4,5,6
S6371349B,0,4,7,1,3
S8833714J,6,1,8,0,3
S8884261T,8,0,4,6,5
S6015622D,8,5,0,4,3
S8489138O,8,3,7,0,2
S8757239V,3,4,0,8,5
S7652840D,0,8,5,2,4
S6232904Y,4,6,7,8,2
S5320187V,0,4,8,7,2
S7018141C,0,8,4,6,3
S8282523O,1,7,6,5,8
S6739562P,1,8,7,0,5
S6932179X,0,6,4,1,8
S7367221A,2,3,8,6,4
S7707164J,5,1,8,3,0
S4623627S,3,8,0,4,6
S6822856U,8,0,5,4,7
S4361676O,1,3,4,7,0
S6449940H,8,5,4,3,0
S9241578E,4,6,1,7,0
S8227128A,8,7,0,1,6
S8564954P,0,4,8,3,5
S6093875S,4,0,8,6,3
S9577804R,0,6,1,4,8
S6534429Z,6,4,5,1,3
S9518850Q,6,3,2,4,7
S5541977U,7,6,0,5,8
S7358687H,0,1,4,6,3
S6683271A,8,2,1,4,0
S6505581J,4,1,3,7,0
S7333569R,2,0,4,6,1
S7715107Y,5,3,6,0,8
S4977050Z,4,0,8,6,1
S5252051H,4,1,6,0,7
S7400708L,0,7,8,3,6
S5321460X,4,0,2,1,6
S6957008A,0,2,4,5,6
S5594589U,0,8,4,5,7
S6029676J,1,4,0,6,7
S7068002U,6,0,8,1,3
S9015867D,5,4,8,6,3
S5704087H,4,6,3,7,2
S6478988U,4,8,3,0,7
S8155402X,0,1,4,6,3
S4927174X,0,8,4,1,6
S5204111S,0,4,6,7,2
S6423899H,0,6,7,8,4
S7717200P,8,2,1,4,6
S9317676L,1,7,4,0,2
S7465167N,8,0,3,5,2
S7718516S,1,5,3,0,6
S8754228V,4,0,6,3,7
S7183554U,5,8,3,7,6
S7064407F,1,4,0,7,6
S6815068P,4,0,8,7,1
S4195982B,7,3,6,2,8
S6451006I,0,7,6,3,8
S8677523I,2,0,1,5,8
S9818069Z,0,4,8,6,5
S8117258C,5,2,1,4,0
S8059867E,4,1,7,2,5
S9412887A,4,6,7,0,1
S5727284E,6,1,4,0,8
S6718342J,0,4,1,5,8
S6771387T,6,0,1,4,7
S4965751L,0,4,1,8,7
S7632771W,0,8,5,2,4
S8923584M,3,8,1,5,6
S4875993C,8,7,1,5,6
S6905226H,0,8,6,2,5
S6493650R,0,3,7,4,8
S6539682L,1,6,4,7,2
S5337643W,6,0,4,2,7
S8109669G,7,8,5,1,0
S6059397N,4,7,6,2,0
S5868441W,8,6,0,1,3
S8358093Y,0,4,3,8,6
S4624875J,4,8,6,7,3
S4344772J,3,1,4,0,8
S4124613O,7,5,0,1,2
S7480080E,8,0,6,1,2
S8098820S,1,7,4,0,5
S6185290J,6,4,7,1,0
S6383832A,0,1,7,4,6
S7222729F,5,0,7,6,1
S7192787O,8,7,6,3,4
S8634454V,0,7,1,3,4
S9264147Y,4,8,0,3,5
S4624633M,3,8,5,6,2
S7436098M,8,0,2,7,6
S5460507J,1,0,4,5,7
S5343529M,1,0,2,6,7
S8233162Y,0,8,5,6,4
S5837701G,1,6,8,4,0
S6661275E,0,1,4,6,5
S7326936K,1,4,0,8,6
S8998768G,8,3,1,5,6
S6726541G,0,8,7,1,6
S7947164B,0,1,6,4,8
S7436069Y,8,0,3,5,2
S4589519J,8,2,4,1,5
S9265668I,8,6,0,4,3
S6713980H,0,5,8,3,6
S5036868V,0,1,7,6,4
S6457436J,0,3,8,7,6
S6797426O,0,7,1,4,6
S9225152K,3,0,4,6,8
S9075463Q,8,0,4,5,6
S8543860J,0,4,5,8,3
S5239762T,0,4,2,5,1
S7053470B,0,4,1,8,3
S9639885V,0,4,6,8,3
S8654673R,8,2,3,0,5
S7411933A,7,6,8,0,4
S6228535V,1,7,4,3,6
S9747814V,1,4,2,0,8
S7997553W,4,0,3,2,8
S6877222F,0,4,1,7,5
S7891664O,5,0,8,3,2
S5642410X,0,7,8,2,4
S9728269F,2,8,4,5,0
S8555847O,0,4,1,6,8
S8416003D,8,3,5,7,2
S9509646Q,0,8,2,4,3
S5449142G,0,1,4,7,6
S6632695O,0,1,5,4,3
S4981242U,0,8,4,2,5
S6629108Q,0,4,3,2,8
S6767702R,3,8,0,5,4
S7107605B,6,8,7,4,5
S6804994V,4,0,3,7,1
S7006936P,8,6,7,0,1
S6729047B,1,0,7,4,8
S5494100O,0,1,4,6,5
S6422525C,8,7,3,0,4
S8471549A,0,8,7,4,2
S8686765S,0,2,7,4,3
S6598139E,5,3,6,0,4
S7210999K,0,6,1,4,5
S6493300G,3,5,0,8,6
S4819127T,4,0,6,8,7
S9446685X,0,8,4,6,7
S5672868G,7,4,2,6,8
S7834816T,0,8,4,3,5
S4938016T,8,0,1,7,5
S7058814G,0,3,1,6,8
S6492512J,0,7,4,3,8
S5661325I,1,3,7,0,4
S4724994S,4,8,1,0,5
S7064414X,8,1,7,6,0
S7477238V,0,6,8,7,3
S9234618R,1,0,6,7,5
S4072091S,5,0,7,3,1
S5439758I,1,0,4,7,6
S7600862V,0,8,4,5,1
S4585349K,0,8,4,2,5
S7285744D,0,6,1,5,4
S5231257I,0,4,7,8,2
S7025660D,0,6,4,1,7
S5311111W,0,5,7,3,2
S4636385V,8,3,1,4,5
S8741662X,8,4,0,3,2
S6612859L,0,2,4,1,3
S8963938S,0,6,3,4,5
S4819927U,4,0,6,8,7
S6463879Y,4,7,0,6,1
S7176003Z,4,7,1,8,3
S9693179V,8,6,0,3,4
S8440182U,1,7,8,4,0
S5316189R,1,0,4,6,7
S8121759P,0,6,4,3,7
S7413567U,8,6,0,7,4
S8846800F,1,5,0,8,6
S7683352T,0,8,2,7,5
S4280548G,2,8,4,7,5
S7326149Z,4,1,6,0,3
