User,Item 1,Item 2,Item 3,Item 4,Item 5
S6797836I,0,4,8,2,6
S8167321S,2,1,0,4,5
S9282008Q,2,1,7,0,3
S7127118T,8,7,3,6,4
S7933946G,6,7,0,2,1
S4159727G,1,5,7,2,4
S6920194H,1,7,0,8,6
S7255562Y,1,2,8,3,6
S4300559U,0,7,3,1,8
S6578480Y,6,1,3,2,0
S6855771A,8,6,0,1,5
S4456156S,8,7,4,5,6
S4925796I,4,0,1,3,2
S6545786Z,6,1,2,0,3
S7404188W,2,8,3,6,5
S7211863N,0,8,2,6,5
S8910360F,3,6,7,8,2
S7362820Q,8,2,3,5,0
S7645767P,5,4,2,3,8
S9756333M,6,0,5,7,3
S8551470K,6,5,8,7,0
S7101913Q,7,1,4,6,2
S7109460B,7,1,5,3,8
S7870185X,5,4,2,0,6
S8579668F,8,7,5,4,6
S6558263N,7,6,0,2,1
S5260239E,5,1,6,8,0
S7382855Z,6,4,2,8,3
S8411278G,4,7,1,2,0
S7407673P,2,6,4,3,8
S5823543O,8,7,6,2,0
S6670704L,0,3,1,6,8
S6174504Z,6,8,3,2,5
S6728562T,8,6,3,0,5
S9468573J,3,8,4,2,6
S6362549Q,6,1,2,3,8
S6738028J,6,8,3,0,5
S8164943U,2,5,0,1,8
S7456230T,6,3,2,7,1
S7124780H,7,8,6,3,1
S5284763Z,7,5,8,1,0
S6737907E,4,0,6,8,2
S7007443D,4,1,3,6,7
S7491507K,6,3,2,8,7
S7731448M,0,4,7,5,8
S9814047I,1,7,8,6,0
S5263960M,5,1,6,7,8
S6180721B,1,3,6,8,7
S7058557M,8,0,4,1,7
S6950592K,1,5,7,0,6
S5248058C,5,8,7,6,1
S9821328X,7,4,1,0,6
S4228235Z,7,5,8,1,4
S7386853O,0,1,2,7,3
S9747438C,5,4,1,6,0
S9087186E,1,2,4,7,8
S9050793U,5,2,4,8,7
S6976114S,0,5,1,4,6
S8956206D,3,8,7,2,5
S6709486N,8,0,2,6,5
S8139337I,5,6,0,1,7
S5112437L,7,1,8,3,6
S8017929N,5,1,6,7,2
S4825288T,0,6,7,8,5
S5625876W,4,7,2,1,6
S6530504M,1,6,5,2,0
S5476430Y,4,7,8,1,5
S5707382E,1,7,0,8,4
S9795870P,6,8,2,4,5
S4236257Z,2,3,8,4,0
S5570764S,8,7,6,0,1
S8830349A,8,1,7,5,4
S4874737B,4,0,7,5,6
S5084282V,6,5,3,2,4
S4452805Q,4,8,6,5,2
S7245907I,2,6,8,0,1
S4314994X,4,8,5,1,3
S7934625U,7,4,0,1,2
S7642046J,4,7,8,2,0
S7707164J,2,6,3,1,4
S9894854P,3,0,1,8,7
S9801179A,6,8,3,0,1
S9044523N,5,1,7,0,6
S7345663L,2,0,1,4,6
S8428174L,3,1,7,8,2
S7054978J,8,4,7,5,3
S8079345Q,6,2,3,5,1
S6971186D,5,1,0,7,2
S8378241D,2,6,4,8,1
S6799644K,4,5,0,8,6
S6969310T,8,0,5,1,6
S9456543W,2,4,1,0,7
S8656174P,2,7,3,8,1
S5653172S,1,3,4,2,8
S9394750L,4,1,0,7,5
S6800212Y,4,6,5,0,1
S9827695X,0,3,7,1,6
S6435218U,3,7,8,5,6
S8442131M,3,2,8,7,1
S4624037K,0,5,2,7,6
S6339590W,6,2,7,4,8
S6471616R,7,6,1,2,8
S6305651I,7,0,6,4,2
S6763632P,8,2,0,6,1
S4923561K,6,1,3,2,8
S7044671F,3,8,1,6,7
S7985301G,0,4,7,1,3
S8302424S,4,8,2,7,5
S7430025Y,6,8,1,4,2
S7186701Z,2,7,8,4,6
S8999497W,8,0,6,3,5
S7071739V,7,5,6,8,0
S4833927K,2,1,7,5,8
S6264040J,3,7,8,1,0
S4288757V,5,8,4,7,0
S4788747F,7,3,0,1,8
S8899151D,1,7,0,3,6
S9626475K,8,1,0,3,5
S4680973C,6,7,2,5,4
S9696464O,4,8,1,0,7
S7441002R,5,6,3,4,7
S9814875F,2,8,0,1,6
S7353395H,1,8,7,2,0
S5595949L,4,0,8,7,1
S4641165C,5,6,2,8,4
S6482177P,7,3,1,2,8
S7648413G,7,8,1,5,6
S4807687O,7,6,0,3,1
S8945426L,1,8,3,0,5
S7002963M,5,3,7,8,6
S7455745K,2,3,4,6,5
S6446957F,5,2,8,7,6
S6107696U,8,1,4,2,7
S5693096K,4,1,5,2,7
S9508001R,7,0,1,2,8
S4189205V,6,1,2,5,3
S9164885Z,5,6,1,2,4
S4060326A,1,3,4,5,2
S6830994E,8,1,0,3,7
S6629541E,0,3,5,6,1
S6922492Q,8,0,2,6,4
S6516675K,6,2,4,8,0
S7958091D,0,2,6,7,1
S8440182U,8,1,7,3,0
S6994592W,8,1,5,6,7
S5821793B,5,0,6,7,8
S7733441W,3,8,4,7,2
S8728392Z,8,0,4,3,1
S6691014K,7,1,3,6,5
S5754572E,4,1,6,7,8
S5272356C,8,5,3,4,6
S8051884U,5,1,6,4,8
S5562534H,0,1,7,4,8
S7102629P,8,2,3,7,0
S9746053M,4,6,5,7,8
S6502296P,3,6,1,2,0
S7849236X,4,2,0,8,1
S6314032D,6,4,3,7,0
S4714139X,7,3,5,6,0
S4582869G,7,2,4,5,6
S7861523J,0,2,4,1,5
S9413548V,6,3,2,4,0
S9277976A,5,3,0,7,6
S6880520N,8,0,1,6,5
S5239702E,0,8,6,1,7
S7004996P,1,3,7,5,8
S7400055P,4,6,3,0,8
S5728843J,1,0,8,7,6
S6741922Y,6,5,0,8,1
S5439758I,7,1,4,3,6
S8970344K,3,2,5,8,0
S9104812P,1,2,6,4,0
S9336400D,3,1,6,7,5
S4118641I,5,7,6,1,2
