NRIC,age,gender,job_industry,income
S4000536R,80,male,accommodation_food_services,2560
S4000736D,80,female,financial_insurance_services,6093
S4000776Y,80,male,administrative_support_services,2535
S4003477S,80,female,administrative_support_services,2583
S4006017R,80,male,information_communications,6435
S4006184P,80,male,heal_social_services,6143
S4008785E,80,male,financial_insurance_services,7583
S4008956K,80,female,others,4377
S4009188J,80,male,manufacturing,5070
S4013287N,80,female,others,4377
S4014108S,80,male,others,4332
S4015791T,80,female,transportation_storage,3803
S4015806T,80,female,administrative_support_services,2583
S4015845F,80,female,public_administration_education,5485
S4017283F,80,male,wholesale_retail_trade,4505
S4019818E,80,male,transportation_storage,3000
S4019916R,80,female,public_administration_education,5485
S4021247K,80,female,arts_entertainment_recreation,3422
S4021473J,80,male,others,4332
S4022171B,80,female,manufacturing,3900
S4022542S,80,female,heal_social_services,3803
S4023008R,80,male,others,4332
S4023201H,80,male,heal_social_services,6143
S4023504Z,80,female,professional_services,5070
S4024045A,80,female,public_administration_education,5485
S4025717L,80,male,accommodation_food_services,2560
S4027261J,80,female,arts_entertainment_recreation,3422
S4029307L,80,male,others,4332
S4029633R,80,female,real_estate_services,4212
S4029699P,80,female,arts_entertainment_recreation,3422
S4032771W,80,female,construction,3803
S4033114E,80,female,professional_services,5070
S4033366D,80,female,transportation_storage,3803
S4033717V,80,female,construction,3803
S4033991N,80,male,construction,4241
S4034690K,80,female,wholesale_retail_trade,3675
S4036246Q,80,male,wholesale_retail_trade,4505
S4038178S,80,female,public_administration_education,5485
S4039031K,80,female,arts_entertainment_recreation,3422
S4039165K,80,female,information_communications,5070
S4039794I,80,male,construction,4241
S4040306C,80,male,heal_social_services,6143
S4042090Q,80,male,arts_entertainment_recreation,3955
S4042178C,80,female,wholesale_retail_trade,3675
S4042324W,80,male,administrative_support_services,2535
S4043708J,80,male,information_communications,6435
S4044242O,80,male,real_estate_services,4706
S4044243Q,80,male,public_administration_education,6581
S4045227L,80,female,information_communications,5070
S4046394P,80,female,construction,3803
S4047609N,80,female,professional_services,5070
S4047891M,80,female,arts_entertainment_recreation,3422
S4047957O,80,female,arts_entertainment_recreation,3422
S4048013Z,80,female,professional_services,5070
S4048627B,80,female,wholesale_retail_trade,3675
S4049608O,80,male,financial_insurance_services,7583
S4051727Q,80,female,accommodation_food_services,2008
S4052482E,80,female,administrative_support_services,2583
S4052749J,80,female,heal_social_services,3803
S4053118L,80,male,administrative_support_services,2535
S4053888Y,80,female,accommodation_food_services,2008
S4055294V,80,male,arts_entertainment_recreation,3955
S4055530Z,80,female,professional_services,5070
S4058163I,80,male,administrative_support_services,2535
S4058418E,80,female,accommodation_food_services,2008
S4060326A,80,female,public_administration_education,5485
S4060452H,80,female,construction,3803
S4060699N,80,female,manufacturing,3900
S4060820K,80,male,heal_social_services,6143
S4060976C,80,male,real_estate_services,4706
S4062750A,80,male,accommodation_food_services,2560
S4063808G,80,male,accommodation_food_services,2560
S4066300A,80,female,others,4377
S4066741A,80,male,transportation_storage,3000
S4067276N,80,male,wholesale_retail_trade,4505
S4069162U,80,female,wholesale_retail_trade,3675
S4070060Y,80,female,arts_entertainment_recreation,3422
S4071253K,80,female,professional_services,5070
S4071343C,80,female,real_estate_services,4212
S4072091S,80,male,financial_insurance_services,7583
S4074326M,80,female,administrative_support_services,2583
S4076007V,80,female,transportation_storage,3803
S4076604U,80,male,information_communications,6435
S4077853D,80,male,financial_insurance_services,7583
S4078436M,80,female,public_administration_education,5485
S4079054K,80,male,financial_insurance_services,7583
S4079783I,80,male,wholesale_retail_trade,4505
S4080196Y,80,female,construction,3803
S4083446F,80,female,accommodation_food_services,2008
S4083977Q,80,female,manufacturing,3900
S4084541R,80,male,administrative_support_services,2535
S4085477Z,80,female,administrative_support_services,2583
S4085824C,80,female,construction,3803
S4087456Q,80,male,arts_entertainment_recreation,3955
S4087667Y,80,female,public_administration_education,5485
S4089454U,80,female,administrative_support_services,2583
S4091839H,80,male,professional_services,6110
S4093521K,80,male,construction,4241
S4094223O,80,female,manufacturing,3900
S4097618K,80,female,professional_services,5070
S4099568E,80,female,manufacturing,3900
S4100435F,79,male,heal_social_services,6143
S4100775L,79,female,administrative_support_services,2583
S4100866B,79,male,administrative_support_services,2535
S4102483E,79,male,manufacturing,5070
S4102962R,79,male,heal_social_services,6143
S4104200C,79,female,accommodation_food_services,2008
S4104514K,79,female,accommodation_food_services,2008
S4108676Y,79,female,construction,3803
S4110561U,79,male,administrative_support_services,2535
S4114853X,79,female,professional_services,5070
S4116976G,79,female,transportation_storage,3803
S4117857U,79,male,transportation_storage,3000
S4118304T,79,male,real_estate_services,4706
S4118641I,79,male,others,4332
S4120982B,79,male,public_administration_education,6581
S4121025Y,79,male,heal_social_services,6143
S4121238C,79,male,financial_insurance_services,7583
S4122735L,79,female,heal_social_services,3803
S4124613O,79,male,heal_social_services,6143
S4125062T,79,female,transportation_storage,3803
S4128710W,79,female,information_communications,5070
S4129817N,79,male,accommodation_food_services,2560
S4134315A,79,female,heal_social_services,3803
S4134358G,79,male,accommodation_food_services,2560
S4134892F,79,female,transportation_storage,3803
S4137999P,79,male,accommodation_food_services,2560
S4139127O,79,female,information_communications,5070
S4139134E,79,male,heal_social_services,6143
S4139975A,79,female,public_administration_education,5485
S4140213G,79,female,professional_services,5070
S4142292B,79,female,public_administration_education,5485
S4143040O,79,female,professional_services,5070
S4144480D,79,female,public_administration_education,5485
S4145237K,79,female,manufacturing,3900
S4146947D,79,female,real_estate_services,4212
S4147301T,79,male,manufacturing,5070
S4148259T,79,male,financial_insurance_services,7583
S4150041Z,79,male,arts_entertainment_recreation,3955
S4153040G,79,male,administrative_support_services,2535
S4153110B,79,male,construction,4241
S4153629R,79,female,arts_entertainment_recreation,3422
S4154136Y,79,female,financial_insurance_services,6093
S4154619Y,79,female,others,4377
S4155325K,79,male,arts_entertainment_recreation,3955
S4155469H,79,female,public_administration_education,5485
S4155962D,79,female,real_estate_services,4212
S4158799H,79,female,real_estate_services,4212
S4159727G,79,male,heal_social_services,6143
S4160783L,79,female,public_administration_education,5485
S4161017Y,79,male,administrative_support_services,2535
S4161441V,79,male,information_communications,6435
S4162088M,79,male,professional_services,6110
S4162389B,79,female,administrative_support_services,2583
S4162632E,79,male,wholesale_retail_trade,4505
S4163554X,79,female,real_estate_services,4212
S4166613S,79,female,construction,3803
S4166800Q,79,male,real_estate_services,4706
S4171612M,79,female,wholesale_retail_trade,3675
S4173596R,79,female,administrative_support_services,2583
S4181334U,79,male,construction,4241
S4181444T,79,female,financial_insurance_services,6093
S4182317X,79,male,information_communications,6435
S4182731A,79,male,others,4332
