NRIC,recommended_page_1,predicted_time_spent_1,recommended_page_2,predicted_time_spent_2,recommended_page_3,predicted_time_spent_3
S5177490P,3,13.6781006032026,1,13.1527520043671,4,13.0477885089176
S8073760D,3,13.8110151694354,8,12.2032027948251,0,10.5499574465697
S6414215E,0,11.1580300060963,3,11.031748281939,7,10.6771233407392
S7115029W,8,12.5205568651594,3,11.8621523501823,7,11.8056369027343
S7373944I,2,13.3132303451007,7,13.2419337362656,8,12.5972811960647
S8591041F,8,12.8644817034928,7,10.4759537499626,2,9.7297129935668
S4846830K,7,11.5646343349649,5,11.1810281482293,6,11.0260668436922
S7470613P,7,10.9210295242296,4,10.4895346281173,3,10.1798474658343
S5702736E,8,11.5407765851163,7,11.381402547164,1,10.8126172416373
S5134099V,7,13.4023864460559,3,12.7104701178635,4,12.3445360954656
S9410616T,3,9.14303093228738,7,8.57992594061528,6,8.48260787311318
S6693864Q,7,12.6363863522845,3,12.5770343386408,0,12.5303983321341
S8894028M,1,13.2143745061225,3,13.1159726182557,8,12.8929760724953
S4444163M,4,12.6162930052859,5,12.0964288464282,0,10.3576899518577
S4701576H,7,11.8880007596608,3,11.1487731649039,8,10.8101883712436
S9807924F,4,10.6142438350549,8,10.3081978043307,7,9.92681323149293
S7857107N,8,12.7291317756549,4,12.343946365716,2,11.1328616480155
S6671308F,7,12.3726746127033,5,12.1900017563242,8,11.8079105882318
S7814424F,4,11.7929871325449,5,11.4334052323945,2,11.0515788287999
S6487250V,2,12.4463605899749,0,11.618544810021,3,11.4736253233159
S4902189J,0,14.1357380869705,3,13.6972299832424,7,13.2753057955007
S8022049Q,7,9.33547713559321,3,9.00756768745313,5,8.66357580911827
S7462263V,7,12.8693112725124,4,12.4613074481876,3,12.1655057547209
S7962136P,0,11.99886213485,7,9.72078723185716,8,9.50262117508363
S6759422T,8,14.426765508179,2,14.2450629835193,0,13.887369311289
S7760056I,8,13.9489557500704,3,13.8063574205571,4,13.0843588585029
S8228816X,4,12.5957887670971,0,12.4444444230802,8,11.875074062214
S9594271C,7,13.259494399548,2,12.351690051744,3,12.0037746554726
S9897377J,7,13.2373521654028,2,11.7542655273446,1,11.6867848943097
S9415850U,4,11.8999805813023,3,11.8747920585507,0,11.7501745293827
